reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
fd,Fresh,False,Drama,Fox Searchlight,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.m/12_years_a_slave12 Years a Slave"
"A modern romance for grown-ups... a sweet-natured, funny, deeply-romantic tale that brims with energy and is blessed with top-notch performances.",Fresh,False,"Comedy, Drama, Romance",Fox Searchlight Pictures,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.m/500_days_of_summer500 Days of Summer"
"This probably sounded like a surefire idea for a franchise, but there are so many plot twists that the narrative comes to resemble a Mbius strip. That wouldn't be so bad if at least the twists made a modicum of sense.",Rotten,True,Drama,Warner Bros. Pictures,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.m/the_accountant_2016The Accountant"
A minnow of a movie camouflaged within the gaudy spines and barbels of some exotic species...,Rotten,False,"Comedy, Drama",Sony Pictures,"When Edward Bloom (Albert Finney) becomes ill, his son, William (Billy Crudup), travels to be with him. William has a strained relationship with Edward because his father has always told exaggerated stories about his life, and William thinks he's never really told the truth. Even on his deathbed, Edward recounts fantastical anecdotes. When William, who is a journalist, starts to investigate his father's tales, he begins to understand the man and his penchant for storytelling.m/1127787-big_fishBig Fish"
,Fresh,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.m/10009225-body_of_liesBody of Lies"
Capote is another full-house flush hand performance by Philip Seymour Hoffman.,Fresh,False,Drama,Sony Pictures Classics,"Reading of the murder of a Kansas family, New York City novelist Truman Capote (Philip Seymour Hoffman) decides to cover the story himself, and travels to the small town with his childhood friend, aspiring novelist Harper Lee (Catherine Keener). When Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested and charged, Capote forms an emotional bond with Smith during his jailhouse interviews despite the young criminal's apparent guilt.m/1151898-capoteCapote"
"It's like great jazz -- infinite freedom within a limited sphere, an artful organization of exhilarating invention.",Fresh,False,Drama,Lions Gate Films,"Writer-director Paul Haggis interweaves several connected stories about race, class, family and gender in Los Angeles in the aftermath of 9/11. Characters include a district attorney (Brendan Fraser) and his casually prejudiced wife (Sandra Bullock), dating police detectives Graham (Don Cheadle) and Ria (Jennifer Esposito), a victimized Middle Eastern store owner and a wealthy African-American couple (Terrence Dashon Howard, Thandie Newton) humiliated by a racist traffic cop (Matt Dillon).m/1144992-crashCrash"
"""The 33"" delivers what it promised: A family film to make you feel and cry. [Full review in Spanish]",Fresh,False,Drama,Warner Bros. Pictures,"Disaster strikes on Aug. 5, 2010, as a copper and gold mine collapses in Chile, trapping 33 men underground. With more than 2,000 feet of rock in their way, members of a rescue team work tirelessly for 69 days to save the seemingly doomed crew. Beneath the rubble, the miners begin an epic quest to survive, contending with suffocating heat and the need for food and water. With family, friends and the rest of the world watching, it becomes a race against time and a true test of the human spirit.m/the_33The 33"
DiCaprio never measures up to the task of creating a plausible interpretation of what enabled Hoover to be both heroic and maniacal.,Rotten,False,Drama,Warner Bros. Pictures,"As head of the FBI for nearly 50 years, J. Edgar Hoover (Leonardo DiCaprio) becomes one of America's most-powerful men. Serving through eight presidents and three wars, Hoover utilizes methods both ruthless and heroic to keep his country safe. Projecting a guarded persona in public and in private, he lets few into his inner circle. Among those closest to him are his protege and constant companion, Clyde Tolson (Armie Hammer), and Helen Gandy (Naomi Watts), his loyal secretary.m/j_edgarJ. Edgar"
"The point of this film is the isolation, the visceral mental strain of being alone and feeling alone.",Fresh,False,Drama,Ideaman Studios,"A passionate young couple, unexpectedly separated by a shocking loss, discover an eternal connection and a love that is infinite.m/a_ghost_storyA Ghost Story"
"The movie features a good, though eventually tiring and self-defeating, gag about the inherent lameness of sequels.",Fresh,False,"Action & Adventure, Comedy",Sony Pictures,"Although they made their way through high school successfully, an investigation at a local college brings big changes for undercover officers Jenko (Channing Tatum) and Schmidt (Jonah Hill). When Jenko meets a kindred spirit on the football team and Schmidt infiltrates the bohemian art-major scene, both men begin to question their partnership. Not only do they have to crack the case, but now the two overgrown adolescents must learn how to behave like adults.m/22_jump_street22 Jump Street"
"It could earn Oscar for the talented Philip Seymour Hoffman who brings the man, the myth and legend to life.",Fresh,False,Drama,Sony Pictures Classics,"Reading of the murder of a Kansas family, New York City novelist Truman Capote (Philip Seymour Hoffman) decides to cover the story himself, and travels to the small town with his childhood friend, aspiring novelist Harper Lee (Catherine Keener). When Perry Smith (Clifton Collins Jr.) and Dick Hickock (Mark Pellegrino) are arrested and charged, Capote forms an emotional bond with Smith during his jailhouse interviews despite the young criminal's apparent guilt.m/1151898-capoteCapote"
"It's a warm, wise and funny movie that is heartwarming without being sappy.",Fresh,False,"Comedy, Drama",A24 Films,"In 1979 Santa Barbara, Calif., Dorothea Fields is a determined single mother in her mid-50s who is raising her adolescent son, Jamie, at a moment brimming with cultural change and rebellion. Dorothea enlists the help of two younger women -- Abbie, a free-spirited punk artist living as a boarder in the Fields' home and Julie, a savvy and provocative teenage neighbor -- to help with Jamie's upbringing.m/20th_century_women20th Century Women"
A tedious film with an utterly unlikable protagonist.,Rotten,False,Drama,Universal Pictures,"In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.m/1152567-jarheadJarhead"
Cloverfield 10 Lane is a breath of fresh air in a world where franchises and blockbusters fill the theaters. [Full review in Spanish],Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
"It depicts a world where no one, man or God, has much say in what happens to the planet, and where the survival of one family outweighs the deaths of billions. What does that say about us?",Rotten,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
A touching portrait of a courageous young man's journey with cancer and the varied responses of the people around him.,Fresh,False,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
"But despite the immaculate production values, the satire is so unspeakably crude that it ceases to matter. A shame. Scott has been an instrumental director in the Hollywood evolution of war films. But Body of Lies is a one-note rant.",Fresh,True,"Drama, Mystery & Suspense",Warner Bros. Pictures,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.m/10009225-body_of_liesBody of Lies"
Clear evidence of the limitations of the performance-capture method of animation and of the excesses it invites...there's more of artifice than art in it.,Rotten,False,"Animation, Drama, Kids & Family, Science Fiction & Fantasy",Walt Disney Studios,"Though London awaits the joyful arrival of Christmas, miserly Ebenezer Scrooge (Jim Carrey) thinks it's all humbug, berating his faithful clerk and cheerful nephew for their view. Later, Scrooge encounters the ghost of his late business partner, who warns that three spirits will visit him this night. The ghosts take Scrooge on a journey through his past, present and future in the hope of transforming his bitterness.m/10008502-christmas_carolDisney's A Christmas Carol"
"Superbly acted, unblinking and unhysterical, it looks beyond politics into the hearts and minds of the men we needed to call 'the enemy,' and lets us see ourselves.",Fresh,True,Drama,Warner Bros. Pictures,"Long-buried missives from the island reveal the stories of the Japanese troops who fought and died there during World War II. Among them are Saigo (Kazunari Ninomiya), a baker; Baron Nishi (Tsuyoshi Ihara), an Olympic champion; and Shimizu (Ryô Kase), an idealistic soldier. Though Lt. Gen. Tadamichi Kuribayashi (Ken Watanabe) knows he and his men have virtually no chance of survival, he uses his extraordinary military skills to hold off American troops as long as possible.m/letters_from_iwo_jimaLetters from Iwo Jima"
This film should be 6-7 Hours: The Secret Soldiers Of Benghazi. 8 Hours: The Secret Soldiers Of Benghazi max.,Rotten,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"""Apparently it takes """"'Weeks'",Fresh,False,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"... gritty, hugely entertaining.",Fresh,True,"Classics, Drama, Western",Columbia Pictures,"Outlaw Ben Wade (Russell Crowe) terrorizes 1800s Arizona, especially the Southern Railroad, until he is finally captured. Wade must be brought to trial, so Dan Evans (Christian Bale), the owner of a drought-stricken ranch, volunteers to escort him to the train. Along the trail, a grudging respect forms between the men, but danger looms at every turn, and the criminal's men are in pursuit.m/310_to_yuma3:10 to Yuma"
"Sporadically entertaining, and ultimately pointless -- although that seems to be its agenda right from the start.",Rotten,False,Drama,Universal Pictures,"In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.m/1152567-jarheadJarhead"
"There is soap opera afoot here, but at least it's well-acted.",Fresh,False,Drama,Warner Bros. Pictures,"""White Oleander"" chronicles the life of Astrid (Alison Lohman), a young teenager who journeys through a series of foster homes after her mother (Michelle Pfeiffer) goes to prison for committing a crime of passion. Set adrift in the world, Astrid struggles to become her own person while coming to terms with the challenges of living life on her own.m/white_oleanderWhite Oleander"
Insomnia certainly won't put you to sleep.,Rotten,False,"Drama, Mystery & Suspense",Warner Bros. Pictures,"""From acclaimed director Chris Nolan (""""Memento"""") comes the story of a veteran police detective (Al Pacino) who is sent to a small Alaskan town to investigate the murder of a teenage girl. Forced into a psychological game of cat-and-mouse by the primary suspect (Robin Williams)m/1114154-insomniaInsomnia"
127 Hours is an inspiring dramatic thriller with creative direction by Danny Boyle and a commanding performance from James Franco.,Fresh,False,Drama,Fox Searchlight,"""While exploring a remote canyon in Utah, mountaineer and adventurer Aron Ralston (James Franco) becomes trapped when a boulder falls on his arm. Over the next five days, Ralston examines his life and considers his options, leading him to an agonizing choice: to amputate his arm so that he can extricate himself and try to make his way back to civilization or remain pinned to the canyon wall and likely die. Based on Ralston's book, """"Between a Rock and a Hard Place.""""""m/127_hours127 Hours"
"2012 is no disaster movie, it's a high-rent remake of The Parent Trap.",Fresh,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
"The result is a gaudy bag of stale candy, something from a Halloween that died.",Rotten,False,Comedy,Warner Bros. Pictures,"Tells the story of Rainbow Randolph (Robin Williams), the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy (Edward Norton), a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive (Catherine Keener) - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.m/death_to_smoochyDeath to Smoochy"
"Lord of the Rings and every woman-warrior myth you've ever heard of, with a Lewis Carroll overlay...His worst since Planet of the Apes or Batman Returns.",Rotten,False,"Animation, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Film Chest,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.m/1221547-alice_in_wonderlandAlice in Wonderland"
"It might sound damning to say that the film resembles a bullet-riddled carcass just barely clinging to life, but it's exactly this ephemeral sensation, which Mann sustains for the entire two hours +, that distinguishes Public Enemies.",Fresh,True,"Action & Adventure, Drama",Universal Studios,"Depression-era bank robber John Dillinger's (Johnny Depp) charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover (Billy Crudup) and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis (Christian Bale), the task of bringing him in dead or alive.m/10009526-public_enemiesPublic Enemies"
"A Ghost Story is, for the most part, the best film that Lowery has ever made.",Fresh,False,Drama,Ideaman Studios,"A passionate young couple, unexpectedly separated by a shocking loss, discover an eternal connection and a love that is infinite.m/a_ghost_storyA Ghost Story"
It's easy to get lucky when you look like Zac Efron.,Rotten,False,Drama,Warner Bros. Pictures,"U.S. Marine Sgt. Logan Thibault (Zac Efron) returns home from his third tour of duty in Iraq with the one thing he believes kept him alive: a photograph of a woman he doesn't even know. He learns the woman's name is Beth (Taylor Schilling) and goes to meet her, eventually taking a job at her family-run kennel. Though Beth is full of mistrust and leads a complicated life, a romance blooms, giving Logan hope that Beth could become more than just his good-luck charm.m/the_lucky_one_2012The Lucky One"
50/50 is about right.,Fresh,True,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
"""The Accountant"" just becomes a dull shoot 'em up movie, complete with acrobatic stunts and guys dressed in black hiding behind things.",Rotten,False,Drama,Warner Bros. Pictures,"Christian Wolff (Ben Affleck) is a mathematics savant with more affinity for numbers than people. Using a small-town CPA office as a cover, he makes his living as a freelance accountant for dangerous criminal organizations. With a Treasury agent (J.K. Simmons) hot on his heels, Christian takes on a state-of-the-art robotics company as a legitimate client. As Wolff gets closer to the truth about a discrepancy that involves millions of dollars, the body count starts to rise.m/the_accountant_2016The Accountant"
"A movie that lacks the jazz hand energy of Glee, but packs good-natured laughs to keep someone awake for its two hour duration. More ""noise"" than ""joyful.""",Rotten,False,Comedy,Warner Bros. Pictures,"Hard times have fallen on Pacashau, Ga., but the townspeople have faith that the Divinity Church Choir will lift their spirits by winning a national competition. The choir has always made beautiful music, but now, its two leading ladies have hit a sour note. Vi Rose (Queen Latifah) believes that a traditional style is the key to victory, but G.G. (Dolly Parton) thinks tried-and-true means tired-and-old. The two singers must find a harmonious chord or risk losing everything.m/joyful_noise_2011Joyful Noise"
"There are unexpected twists, surprising turns, and you have no idea what is going to happen from scene-to-scene. It held my attention throughout.",Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
I won't say Extremely Loud & Incredibly Close is perfect but I will say I adored and loved it with all my being nonetheless.,Fresh,False,Drama,Warner Bros. Pictures,"Oskar (Thomas Horn), who lost his father (Tom Hanks) in the 9/11 attack on the World Trade Center, is convinced that his dad left a final message for him somewhere in the city. Upon finding a mysterious key in his father's closet, Oskar sets out in search of the lock it fits. Feeling disconnected from his grieving mother (Sandra Bullock) and driven by a tirelessly active mind, Oskar has a journey of discovery that takes him beyond his loss and leads to a greater understanding of the world.m/extremely_loud_and_incredibly_closeExtremely Loud & Incredibly Close"
All of this goes together to earn 12 Years a Slave a spot at the top of the list for best pictures released this year.,Fresh,False,Drama,Fox Searchlight,"In the years before the Civil War, Solomon Northup (Chiwetel Ejiofor), a free black man from upstate New York, is kidnapped and sold into slavery in the South. Subjected to the cruelty of one malevolent owner (Michael Fassbender), he also finds unexpected kindness from another, as he struggles continually to survive and maintain some of his dignity. Then in the 12th year of the disheartening ordeal, a chance meeting with an abolitionist from Canada changes Solomon's life forever.m/12_years_a_slave12 Years a Slave"
"As we gaze at and listen to these paradigmatic performers, whose characters reflect on nearly a half-century together - almost as long as the leads have been icons - the movie becomes a tender unofficial career retrospective for both.",Fresh,True,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
,Rotten,False,Comedy,Warner Bros. Pictures,"As the holidays approach, Clark Griswold (Chevy Chase) wants to have a perfect family Christmas, so he pesters his wife, Ellen (Beverly D'Angelo), and children, as he tries to make sure everything is in line, including the tree and house decorations. However, things go awry quickly. His hick cousin, Eddie (Randy Quaid), and his family show up unplanned and start living in their camper on the Griswold property. Even worse, Clark's employers renege on the holiday bonus he needs.m/national_lampoons_christmas_vacationNational Lampoon's Christmas Vacation"
The film has a lot of propulsive energy that I found pretty delightful.,Fresh,True,Drama,Universal Pictures,"During World War I, two British soldiers -- Lance Cpl. Schofield and Lance Cpl. Blake -- receive seemingly impossible orders. In a race against time, they must cross over into enemy territory to deliver a message that could potentially save 1,600 of their fellow comrades -- including Blake's own brother.m/1917_20191917"
"28 Weeks Later doesn't just recycle the premise, apocalyptic mood and insane violence of the original: It adds thematic layers to its zombie milieu, deepening the scares while justifying the sequel's existence.",Fresh,True,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Fox Atomic,"Six months after the original epidemic, the rage virus has all but annihilated the population of the British Isles. Nevertheless the U.S. Army declares the danger past, and American soldiers arrive to restore order and begin reconstruction. Refugees return to British soil, but one of them carries a deadly secret: The virus is not gone and is even more dangerous than before.m/28_weeks_later28 Weeks Later..."
"It should have been placed in a hazardous waste container, encased in concrete and dumped into the Farrelly brothers' septic tank.",Rotten,True,Comedy,Warner Bros. Pictures,"A cutting-edge, live action/animated action adventure comedy about one white blood cell's (Chris Rock) race against the biological clock to hunt down and destroy a lethal new virus (Laurence Fishburne). Bill Murray stars as Frank, in whose body the action unfolds.m/osmosis_jonesOsmosis Jones"
"A strong film with much to recommend it, even if we've seen the same movie before",Fresh,False,Drama,Warner Bros. Pictures,"Single mother Josey Aimes (Charlize Theron) is part of a group of the first women to work at a local iron mine in Minnesota. Offended that they have to work with women, male workers at Eveleth Mines lash out at them and subject them to sexual harassment. Appalled by the constant stream of insults, sexually explicit language and physical abuse, Josey -- despite being cautioned against it by family and friends -- files a historic sexual harassment lawsuit.m/north_countryNorth Country"
"Despite a cracking central premise and outstanding visuals, 300 ultimately leaves you feeling more gutted than some of the disemboweled soldiers on display throughout the movie.",Rotten,False,"Action & Adventure, Drama",Warner Bros. Pictures,"In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the Battle of Thermopylae, Leonidas (Gerard Butler), king of the Greek city state of Sparta, leads his badly outnumbered warriors against the massive Persian army. Though certain death awaits the Spartans, their sacrifice inspires all of Greece to unite against their common enemy.m/300300"
"Hopefully this film will open the door to many more stories that explore-and through increased representation, normalise-having a disability.",Fresh,False,Drama,Warner Bros. Pictures,"Young and quirky Louisa ""Lou"" Clark (Emilia Clarke) moves from one job to the next to help her family make ends meet. Her cheerful attitude is put to the test when she becomes a caregiver for Will Traynor (Sam Claflin), a wealthy young banker left paralyzed from an accident two years earlier. Will's cynical outlook starts to change when Louisa shows him that life is worth living. As their bond deepens, their lives and hearts change in ways neither one could have imagined.m/me_before_youMe Before You"
Uses its flimsy supernatural premise as framework for a lackluster romance.,Rotten,False,Drama,Warner Bros. Pictures,"Mia Hall (Chloë Grace Moretz), a talented young cellist, thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life, Adam (Jamie Blackley), a rock singer/guitarist. However, a car wreck changes everything in an instant, and now Mia's life hangs in the balance. Suspended between life and death, Mia faces a choice that will decide her future.m/if_i_stayIf I Stay"
